y1_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI,Year
AZ,41,OR,Oregon,3479,6266,279548,2018
AZ,36,NY,New York,2990,4985,287669,2018
AZ,26,MI,Michigan,2967,5332,191887,2018
AZ,49,UT,Utah,2883,6325,161415,2018
AZ,27,MN,Minnesota,2848,4914,306743,2018
AZ,39,OH,Ohio,2536,4512,254590,2018
AZ,55,WI,Wisconsin,2452,4459,166639,2018
AZ,42,PA,Pennsylvania,1987,3411,150126,2018
AZ,51,VA,Virginia,1867,3520,152620,2018
AZ,37,NC,North Carolina,1840,3650,114123,2018
AZ,29,MO,Missouri,1831,3434,115005,2018
AZ,18,IN,Indiana,1790,3295,126816,2018
AZ,13,GA,Georgia,1719,3340,107821,2018
AZ,16,ID,Idaho,1482,2896,80119,2018
AZ,19,IA,Iowa,1358,2405,101888,2018
AZ,34,NJ,New Jersey,1320,2313,142862,2018
AZ,25,MA,Massachusetts,1210,1932,109946,2018
AZ,57,FR,Foreign,1190,2619,62130,2018
AZ,20,KS,Kansas,1177,2262,74881,2018
AZ,47,TN,Tennessee,1137,2152,65526,2018
AZ,24,MD,Maryland,1049,1941,92983,2018
AZ,30,MT,Montana,1041,1878,62386,2018
AZ,31,NE,Nebraska,1036,1894,74293,2018
AZ,40,OK,Oklahoma,1027,2042,57053,2018
AZ,2,AK,Alaska,992,1888,66794,2018
AZ,15,HI,Hawaii,912,1804,66545,2018
AZ,45,SC,South Carolina,778,1518,54361,2018
AZ,46,SD,South Dakota,737,1311,42920,2018
AZ,38,ND,North Dakota,726,1250,50084,2018
AZ,9,CT,Connecticut,709,1231,70159,2018
AZ,21,KY,Kentucky,642,1243,36684,2018
AZ,56,WY,Wyoming,635,1235,40773,2018
AZ,22,LA,Louisiana,612,1177,34660,2018
AZ,1,AL,Alabama,581,1169,35359,2018
AZ,5,AR,Arkansas,555,1042,26994,2018
AZ,33,NH,New Hampshire,375,615,22751,2018
AZ,28,MS,Mississippi,374,691,16459,2018
AZ,23,ME,Maine,300,524,16245,2018
AZ,44,RI,Rhode Island,193,359,14861,2018
AZ,11,DC,District Of Columbia,190,262,17894,2018
AZ,54,WV,West Virginia,190,331,11853,2018
AZ,10,DE,Delaware,163,287,10701,2018
AZ,50,VT,Vermont,157,261,12342,2018
AR,96,AR,AR Total Migration-US and Foreign,30908,62258,1613152,2018
AR,97,AR,AR Total Migration-US,30637,61662,1601322,2018
AR,98,AR,AR Total Migration-Foreign,271,596,11830,2018
AR,97,AR,AR Total Migration-Same State,41262,84185,1721984,2018
AR,5,AR,AR Non-migrants,943044,2097158,65327022,2018
AR,48,TX,Texas,5926,12083,326496,2018
AR,29,MO,Missouri,2810,5671,127285,2018
AR,40,OK,Oklahoma,2734,5581,111257,2018
AR,6,CA,California,2006,4003,107644,2018
AR,47,TN,Tennessee,1715,3444,101971,2018
AR,12,FL,Florida,1390,2592,69408,2018
AR,22,LA,Louisiana,1352,2789,64860,2018
AR,17,IL,Illinois,1062,2099,61437,2018
AR,28,MS,Mississippi,938,1973,45709,2018
AR,8,CO,Colorado,835,1632,46321,2018
AR,20,KS,Kansas,721,1449,38814,2018
AR,13,GA,Georgia,649,1367,36881,2018
AR,4,AZ,Arizona,564,1091,26031,2018
AR,37,NC,North Carolina,541,1127,29417,2018
AR,53,WA,Washington,474,951,29736,2018
AR,39,OH,Ohio,443,886,35125,2018
AR,51,VA,Virginia,441,900,30551,2018
AR,1,AL,Alabama,439,866,18777,2018
AR,26,MI,Michigan,437,848,18185,2018
AR,36,NY,New York,430,772,23996,2018
AR,18,IN,Indiana,417,894,19734,2018
AR,19,IA,Iowa,332,626,15906,2018
AR,55,WI,Wisconsin,329,661,15877,2018
AR,21,KY,Kentucky,293,598,17691,2018
AR,42,PA,Pennsylvania,290,550,18045,2018
AR,57,FR,Foreign,271,596,11830,2018
AR,27,MN,Minnesota,269,524,16106,2018
AR,45,SC,South Carolina,257,556,14517,2018
AR,32,NV,Nevada,238,491,10565,2018
AR,31,NE,Nebraska,223,435,11439,2018
AR,35,NM,New Mexico,202,393,9002,2018
AR,41,OR,Oregon,202,411,9096,2018
AR,24,MD,Maryland,185,362,11323,2018
AR,49,UT,Utah,166,411,10139,2018
AR,34,NJ,New Jersey,166,326,11883,2018
AR,15,HI,Hawaii,135,278,4995,2018
AR,25,MA,Massachusetts,133,243,7959,2018
AR,2,AK,Alaska,119,246,6056,2018
AR,46,SD,South Dakota,100,216,5595,2018
AR,38,ND,North Dakota,95,191,5308,2018
AR,16,ID,Idaho,87,196,5199,2018
AR,54,WV,West Virginia,78,160,4612,2018
AR,56,WY,Wyoming,76,166,3235,2018
AR,9,CT,Connecticut,73,123,3085,2018
AR,30,MT,Montana,72,158,3415,2018
AR,11,DC,District Of Columbia,47,63,5222,2018
AR,33,NH,New Hampshire,46,69,558,2018
AR,23,ME,Maine,32,61,1712,2018
AR,10,DE,Delaware,30,54,1659,2018
AR,44,RI,Rhode Island,24,50,1046,2018
AR,50,VT,Vermont,14,26,442,2018
CA,96,CA,CA Total Migration-US and Foreign,261617,441167,19745147,2018
CA,97,CA,CA Total Migration-US,256021,429856,19476281,2018
CA,98,CA,CA Total Migration-Foreign,5596,11311,268866,2018
CA,97,CA,CA Total Migration-Same State,501775,911915,39631874,2018
CA,6,CA,CA Non-migrants,14159070,30682756,1360000753,2018
CA,48,TX,Texas,23416,42879,1613625,2018
CA,36,NY,New York,21467,30322,2560286,2018
CA,53,WA,Washington,16163,28075,1347022,2018
CA,4,AZ,Arizona,14685,26048,872129,2018
CA,12,FL,Florida,14283,23692,1227402,2018
CA,32,NV,Nevada,13290,24105,730911,2018
CA,17,IL,Illinois,11918,19130,1076092,2018
CA,41,OR,Oregon,9908,16074,610000,2018
CA,8,CO,Colorado,9084,15133,624546,2018
CA,51,VA,Virginia,8917,16263,690614,2018
CA,25,MA,Massachusetts,7989,11376,754305,2018
CA,34,NJ,New Jersey,7061,11676,767631,2018
CA,37,NC,North Carolina,6664,12150,469481,2018
CA,13,GA,Georgia,6597,11537,430586,2018
CA,42,PA,Pennsylvania,6584,9965,513722,2018
CA,57,FR,Foreign,5596,11311,268866,2018
CA,15,HI,Hawaii,5525,9982,320624,2018
CA,26,MI,Michigan,5350,8403,404506,2018
CA,39,OH,Ohio,5348,8583,375855,2018
CA,24,MD,Maryland,5173,8638,396971,2018
CA,49,UT,Utah,4365,8466,242229,2018
CA,27,MN,Minnesota,3745,5936,281172,2018
CA,29,MO,Missouri,3628,5981,243402,2018
CA,47,TN,Tennessee,3408,5833,232626,2018
CA,18,IN,Indiana,3210,5131,200619,2018
CA,55,WI,Wisconsin,3007,4812,223190,2018
CA,9,CT,Connecticut,2887,4555,304689,2018
CA,35,NM,New Mexico,2538,4347,136050,2018
CA,40,OK,Oklahoma,2348,4325,127977,2018
CA,16,ID,Idaho,2344,4394,120069,2018
CA,22,LA,Louisiana,2281,3838,119739,2018
CA,11,DC,District Of Columbia,2235,2888,249654,2018
CA,45,SC,South Carolina,2202,3875,120651,2018
CA,20,KS,Kansas,1952,3518,119208,2018
CA,1,AL,Alabama,1531,2797,80557,2018
CA,19,IA,Iowa,1510,2499,81873,2018
CA,2,AK,Alaska,1434,2561,70079,2018
CA,21,KY,Kentucky,1417,2357,122853,2018
CA,5,AR,Arkansas,1393,2576,75296,2018
CA,30,MT,Montana,1267,2032,40549,2018
CA,31,NE,Nebraska,1221,2195,97141,2018
CA,28,MS,Mississippi,1063,1915,52197,2018
CA,33,NH,New Hampshire,921,1426,67562,2018
CA,44,RI,Rhode Island,825,1237,57569,2018
CA,23,ME,Maine,700,1074,40183,2018
CA,38,ND,North Dakota,686,1220,32529,2018
CA,56,WY,Wyoming,617,1072,33311,2018
CA,46,SD,South Dakota,543,946,32153,2018
CA,10,DE,Delaware,503,828,37404,2018
CA,50,VT,Vermont,463,650,27604,2018
CA,54,WV,West Virginia,355,541,19839,2018
CO,96,CO,CO Total Migration-US and Foreign,115696,200950,8564886,2018
CO,97,CO,CO Total Migration-US,114301,197745,8486378,2018
CO,98,CO,CO Total Migration-Foreign,1395,3205,78508,2018
CO,97,CO,CO Total Migration-Same State,132121,229586,8156114,2018
CO,8,CO,CO Non-migrants,1990835,4157422,178810295,2018
CO,6,CA,California,13686,24425,1335896,2018
CO,48,TX,Texas,12769,24492,1020972,2018
CO,12,FL,Florida,7798,12819,497337,2018
CO,17,IL,Illinois,5219,8221,517220,2018
CO,4,AZ,Arizona,4874,8739,302859,2018
CO,36,NY,New York,4084,6055,364662,2018
CO,53,WA,Washington,3046,5510,236641,2018
CO,51,VA,Virginia,2999,5468,287905,2018
CO,35,NM,New Mexico,2959,5386,195426,2018
CO,13,GA,Georgia,2711,5126,175922,2018
CO,37,NC,North Carolina,2690,4663,179746,2018
CO,29,MO,Missouri,2641,4415,188789,2018
CO,20,KS,Kansas,2579,4865,169843,2018
CO,42,PA,Pennsylvania,2473,3700,169279,2018
CO,39,OH,Ohio,2423,3824,175205,2018
CO,27,MN,Minnesota,2142,3398,158005,2018
CO,26,MI,Michigan,2133,3160,120512,2018
CO,40,OK,Oklahoma,2078,3993,117380,2018
CO,55,WI,Wisconsin,2055,3089,129564,2018
CO,56,WY,Wyoming,2025,3503,112378,2018
CO,49,UT,Utah,2018,3991,113858,2018
CO,31,NE,Nebraska,1883,3352,111472,2018
CO,47,TN,Tennessee,1866,3213,114381,2018
CO,41,OR,Oregon,1815,2908,104546,2018
CO,18,IN,Indiana,1703,2803,110668,2018
CO,32,NV,Nevada,1677,3023,126346,2018
CO,25,MA,Massachusetts,1672,2390,145178,2018
CO,34,NJ,New Jersey,1612,2499,173400,2018
CO,24,MD,Maryland,1591,2709,129114,2018
CO,19,IA,Iowa,1577,2557,95552,2018
CO,57,FR,Foreign,1395,3205,78508,2018
CO,22,LA,Louisiana,1213,2165,69470,2018
CO,15,HI,Hawaii,1078,2095,65287,2018
CO,45,SC,South Carolina,1066,1845,45543,2018
CO,30,MT,Montana,935,1564,48750,2018
CO,1,AL,Alabama,928,1785,62049,2018
CO,9,CT,Connecticut,852,1239,81367,2018
CO,21,KY,Kentucky,849,1530,48721,2018
CO,16,ID,Idaho,814,1528,41660,2018
CO,5,AR,Arkansas,812,1558,45111,2018
CO,2,AK,Alaska,786,1449,47287,2018
CO,46,SD,South Dakota,737,1202,35319,2018
CO,38,ND,North Dakota,732,1329,45023,2018
CO,11,DC,District Of Columbia,514,710,54540,2018
CO,28,MS,Mississippi,509,942,23996,2018
CO,33,NH,New Hampshire,456,669,25432,2018
CO,50,VT,Vermont,313,418,15796,2018
CO,23,ME,Maine,311,446,14795,2018
CO,54,WV,West Virginia,243,389,12565,2018
CO,44,RI,Rhode Island,193,318,13573,2018
CO,10,DE,Delaware,162,268,10040,2018
CT,96,CT,CT Total Migration-US and Foreign,40858,71387,4357915,2018
CT,97,CT,CT Total Migration-US,40516,70611,4343916,2018
CT,98,CT,CT Total Migration-Foreign,342,776,13999,2018
CT,97,CT,CT Total Migration-Same State,31408,51001,1986084,2018
CT,9,CT,CT Non-migrants,1389011,2801782,158118664,2018
CT,36,NY,New York,12591,22916,2000952,2018
CT,25,MA,Massachusetts,4824,7840,380371,2018
CT,12,FL,Florida,3663,6283,270093,2018
CT,6,CA,California,1927,3273,229654,2018
CT,34,NJ,New Jersey,1922,3326,188482,2018
CT,44,RI,Rhode Island,1529,2491,109116,2018
CT,42,PA,Pennsylvania,1269,2118,89208,2018
CT,48,TX,Texas,1220,2326,136379,2018
CT,37,NC,North Carolina,1047,1830,66541,2018
CT,51,VA,Virginia,1046,1907,77533,2018
CT,13,GA,Georgia,690,1356,53409,2018
CT,17,IL,Illinois,651,1172,66941,2018
CT,39,OH,Ohio,648,972,48528,2018
CT,24,MD,Maryland,644,1167,50710,2018
CT,45,SC,South Carolina,619,1050,29873,2018
CT,33,NH,New Hampshire,554,876,132648,2018
CT,8,CO,Colorado,463,717,30958,2018
CT,23,ME,Maine,432,681,26841,2018
CT,53,WA,Washington,431,778,41312,2018
CT,4,AZ,Arizona,406,685,34745,2018
CT,57,FR,Foreign,342,776,13999,2018
CT,26,MI,Michigan,335,528,20760,2018
CT,50,VT,Vermont,334,462,19428,2018
CT,47,TN,Tennessee,295,522,22593,2018
CT,11,DC,District Of Columbia,230,305,26517,2018
CT,18,IN,Indiana,212,370,14414,2018
CT,27,MN,Minnesota,209,417,23950,2018
CT,55,WI,Wisconsin,205,360,14096,2018
CT,29,MO,Missouri,193,334,16616,2018
CT,41,OR,Oregon,165,271,9874,2018
CT,15,HI,Hawaii,153,353,8662,2018
CT,22,LA,Louisiana,143,245,7659,2018
CT,49,UT,Utah,140,279,8167,2018
