State,agi_stub,N1,    MARS1,    MARS2,    MARS4,    PREP,N2,NUMDEP,A00100,    N02650,        A02650,    N00200,        A00200,    N00300,        A00300,    N00600,        A00600,    N00650,        A00650,    N00700,        A00700,N00900,        A00900,    N01000,        A01000,N01400,        A01400,    N01700,        A01700,    SCHF,    N02300,        A02300,    N02500,        A02500,    N26270,        A26270,N02900,    A02900,    N03220,        A03220,    N03300,        A03300,    N03270,        A03270,    N03150,        A03150,    N03210,        A03210,    N03230,        A03230,    N03240,        A03240,N04470,    A04470,    N18425,        A18425,    N18450,        A18450,    N18500,        A18500,    N18300,        A18300,    N19300,        A19300,    N19700,        A19700,N04800,    A04800,N05800,    A05800,N09600,        A09600,N07100,    A07100,    N07300,        A07300,    N07180,        A07180,    N07230,        A07230,    N07240,        A07240,    N07220,        A07220,    N07260,        A07260,N09400,    A09400,N10600,    A10600,    N59660,    A59660,N59720,        A59720,    N11070,        A11070,    N10960,        A10960,N06500,    A06500,N10300,    A10300,    N85530,    A85530,    N85300,    A85300,N11901,    A11901,N11902,    A11902
IL,1 ,"77,140","49,230","22,130","3,500","52,640","112,680","21,750","-7,342,584","61,610","-7,253,866","22,190","684,532","26,850","228,820","22,120","163,563","20,290","105,099","3,100","11,414","23,000","-286,865","29,280","627,308","6,310","109,255","9,620","112,624","3,410","1,580","12,060",100,713,"16,210","-1,774,570","19,080","88,718",320,77,180,"3,242","4,600","27,260",500,"2,667","3,260","4,085","4,250","15,352",580,"6,770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,"6,851",320,"6,742",220,869,10,[20],0,0,50,68,50,51,110,144,10,3,"10,000","24,238","36,360","245,262","8,910","9,966","6,220","6,912","3,970","6,323","5,980","5,815",310,"5,982","11,850","34,871",440,726,20,114,"6,410","13,859","30,540","188,192"
IL,2 ,"951,410","782,570","60,400","98,660","462,330","858,770","208,450","4,904,542","951,410","5,081,836","714,380","3,675,453","150,330","75,201","105,480","120,956","95,610","74,400","8,130","3,446","145,270","652,865","86,350","22,314","41,720","154,021","85,240","375,145","3,260","34,930","132,315","1,780","7,732","12,360","-25,725","163,820","177,294","1,830",397,230,660,"9,000","32,869","1,920","5,932","19,140","18,325","17,970","53,917",690,934,"39,400","628,978","12,170","17,832","21,150","13,343","29,600","143,861","37,910","178,445","18,790","117,588","22,560","25,578","116,300","209,177","102,900","20,644",60,143,"7,440",639,"5,540",201,10,1,"1,160",379,70,11,50,12,20,4,"127,400","105,740","812,170","776,183","282,940","352,230","245,700","290,699","96,960","68,452","55,040","49,022","101,150","20,006","235,080","129,743",40,38,20,118,"82,770","38,850","760,130","683,347"
IL,3 ,"1,330,130","748,050","190,370","372,520","725,790","2,406,880","961,140","22,692,148","1,330,130","23,083,067","1,053,750","16,960,060","219,540","168,266","129,310","268,151","117,150","167,774","33,940","13,514","219,630","1,927,991","97,410","109,787","94,600","635,311","198,680","1,998,293","6,260","118,390","756,650","87,600","151,617","27,630","69,872","284,270","390,919","9,220","2,084",730,"4,036","16,390","67,247","8,370","26,949","69,800","68,416","12,140","28,576","1,590","2,646","114,270","1,796,168","57,290","72,596","48,170","39,860","89,800","406,805","112,560","534,737","60,790","359,361","77,210","141,039","828,780","5,265,388","813,510","552,261",310,619,"264,350","93,836","13,170",570,"19,150","6,177","90,030","49,789","79,410","12,842","73,400","22,935","5,060","1,066","190,780","317,411","1,251,100","3,923,132","488,330","1,638,742","441,750","1,431,324","409,810","573,915","109,660","96,393","643,010","458,433","797,010","786,653",110,71,10,62,"109,250","117,460","1,173,310","3,245,298"
IL,4 ,"1,362,550","683,630","352,590","295,800","762,990","2,726,760","1,017,670","49,413,194","1,362,550","50,048,299","1,183,810","39,903,341","321,420","251,335","186,140","463,524","170,650","304,104","147,330","56,444","153,580","1,260,132","142,580","255,339","116,970","1,140,130","249,350","4,064,028","10,570","110,350","853,015","206,110","1,358,761","46,140","319,531","314,520","635,105","28,330","6,696","1,950","14,438","23,650","116,823","24,610","96,118","151,620","170,910","12,090","25,077","3,420","6,696","303,950","4,790,036","231,790","446,892","63,830","70,552","249,270","1,085,560","302,590","1,643,136","203,920","1,169,101","221,500","488,880","1,297,690","25,467,059","1,289,030","3,131,354",360,"1,429","549,660","470,089","37,290","2,561","65,340","39,202","122,110","123,931","153,900","27,658","299,300","266,792","27,560","7,496","114,930","257,709","1,331,870","5,857,121","277,350","537,974","229,620","451,161","258,280","406,832","89,260","79,194","1,049,630","2,661,311","1,102,680","2,952,814",190,209,50,191,"167,120","254,689","1,170,800","3,121,894"
IL,5 ,"824,490","335,210","368,440","103,040","486,200","1,759,880","567,530","50,789,246","824,490","51,376,220","716,150","39,402,902","308,280","273,995","187,460","588,083","172,910","400,356","216,770","93,474","104,980","938,288","146,220","386,823","99,600","1,309,760","203,800","4,951,023","11,280","66,290","479,498","157,010","2,256,318","44,060","400,209","238,100","586,974","29,830","7,307","2,580","24,954","19,950","113,618","22,350","102,767","111,510","111,896","16,540","33,587","4,110","8,519","365,560","6,453,191","310,490","916,805","49,940","68,055","321,640","1,503,970","364,840","2,534,620","277,000","1,722,958","288,090","725,086","819,800","33,108,740","817,160","4,715,134","1,180","2,422","339,830","472,560","47,180","4,857","41,290","23,412","75,930","98,355","32,250","5,321","211,460","323,316","33,550","9,896","78,700","199,049","813,550","6,138,533","1,760",288,"1,380",224,"36,870","49,697","57,650","54,655","778,550","4,242,653","788,870","4,481,786",180,263,50,68,"156,960","336,467","648,170","1,939,085"
IL,6 ,"545,980","140,780","356,250","40,890","330,090","1,326,130","424,100","47,287,749","545,980","47,788,096","480,050","35,997,235","262,710","260,965","170,980","626,320","158,570","441,189","220,070","110,294","80,380","840,203","134,870","463,023","80,710","1,385,795","153,720","4,756,063","10,130","42,560","294,961","113,630","2,080,858","40,960","497,024","161,710","500,346","30,160","7,694","3,060","33,515","16,290","105,309","17,600","92,260","58,520","70,027","6,010","11,100","4,480","10,674","333,380","6,772,273","296,130","1,201,698","34,410","56,431","307,450","1,625,621","333,010","2,924,257","269,940","1,896,703","278,950","780,143","544,610","33,063,491","543,330","4,971,761","3,490","5,564","253,440","397,838","46,950","6,490","36,640","20,410","61,640","83,460",0,0,"161,240","270,711","28,710","8,599","62,140","182,237","540,980","6,021,436",0,0,0,0,"4,350","5,881","45,310","43,795","538,540","4,573,928","540,400","4,796,675",230,197,50,107,"117,670","338,920","412,650","1,504,909"
IL,7 ,"752,490","106,240","615,090","25,190","455,420","2,089,750","722,430","101,512,794","752,490","102,731,126","678,480","77,259,285","453,280","589,430","334,280","1,708,547","314,790","1,245,937","420,160","268,344","127,630","2,251,878","277,590","1,755,134","119,020","3,030,066","211,860","8,890,844","16,030","46,290","314,685","136,340","2,737,539","95,430","2,119,547","277,940","1,218,333","56,570","15,056","11,870","186,973","33,460","265,451","28,240","159,489","86,490","87,043","27,730","54,507","10,820","38,306","618,000","15,689,528","575,860","3,688,056","39,680","82,995","581,490","3,886,139","617,620","7,748,293","511,210","4,273,355","550,460","1,959,581","751,570","76,135,195","750,620","13,341,994","28,520","62,501","373,110","468,422","108,770","30,133","71,830","39,314","86,050","129,591",0,0,"165,620","227,041","46,660","15,585","106,170","447,831","746,800","14,758,567",0,0,0,0,"** 1,020","** 1,557","79,050","80,606","749,160","12,873,573","750,090","13,422,546","5,180","1,744","1,650",851,"232,600","1,116,811","488,350","2,230,909"
IL,8 ,"207,690","22,510","179,490","4,350","144,590","619,590","232,540","59,142,495","207,690","60,265,997","186,750","41,340,113","164,180","518,450","143,300","1,741,456","137,840","1,313,352","90,880","107,020","44,900","2,178,017","134,500","2,778,341","34,420","1,586,778","47,460","2,582,261","5,440","6,840","47,756","32,240","770,803","64,850","4,828,881","74,890","1,123,502","8,420","2,156","13,760","393,718","23,340","254,774","4,500","42,244",0,0,0,0,"7,930","66,023","200,000","8,524,208","193,720","2,740,972","5,960","18,222","186,740","1,957,281","199,970","4,791,536","154,850","1,917,106","186,120","1,250,450","207,420","48,611,839","207,480","11,779,389","147,570","709,743","92,910","120,044","67,510","82,660","20,240","10,679",0,0,0,0,80,82,"11,230","5,295","47,910","377,748","205,570","11,923,969",0,0,0,0,**,**,0,0,"207,520","11,659,681","207,560","12,259,911","94,010","73,655","99,350","95,161","102,510","1,429,940","81,250","673,134"
IL,9 ,"32,940","3,150","28,870",620,"27,700","103,670","41,880","22,187,419","32,940","22,747,734","28,470","12,868,008","30,590","313,293","27,860","929,977","27,070","700,829","10,400","41,954","8,070","797,709","28,050","2,021,277","4,650","274,301","5,340","279,145",810,480,"3,353","4,370","119,939","19,150","4,472,113","16,870","560,315",430,105,"5,000","236,587","7,480","102,782",770,"7,927",0,0,0,0,"2,870","60,400","32,240","2,592,450","31,930","1,188,522",270,"1,126","30,590","502,840","32,230","1,733,488","23,280","413,547","30,830","510,386","32,900","19,586,358","32,930","5,847,855","13,790","174,938","21,780","120,385","18,060","91,599","2,190","1,304",0,0,0,0,0,0,"1,230","1,262","11,680","161,166","32,680","5,898,747",0,0,0,0,0,0,0,0,"32,920","5,728,107","32,930","6,085,318","25,440","82,265","28,150","104,659","17,490","744,089","7,210","192,603"
IL,10 ,"15,880","1,690","13,620",320,"14,560","49,480","20,020","48,614,502","15,880","49,306,839","13,240","14,991,382","15,530","1,519,776","14,590","3,223,318","14,300","2,349,421","8,150","191,651","3,800","773,863","14,740","13,838,436","2,210","176,254","2,480","169,106",370,90,928,"2,320","66,912","12,230","11,787,524","9,980","692,338",100,24,"2,610","149,635","4,800","70,878",390,"3,841",0,0,0,0,"3,230","312,322","15,530","5,065,541","15,440","2,825,879",80,850,"14,880","404,143","15,530","3,306,541","9,420","193,764","15,060","1,936,633","15,840","43,599,896","15,870","14,049,437","2,440","196,003","12,350","593,533","11,140","504,349",590,409,0,0,0,0,0,0,370,"1,416","6,640","175,948","15,800","15,031,429",0,0,0,0,0,0,0,0,"15,870","13,702,368","15,870","14,249,545","11,960","134,069","14,460","461,831","6,550","1,377,342","3,340","1,282,002"
IN,0 ,"3,047,720","1,387,500","1,193,320","415,680","1,588,100","6,064,630","2,046,450","158,756,695","3,039,920","161,055,360","2,564,210","117,410,456","834,860","1,133,736","519,660","2,473,886","479,790","1,806,801","429,580","321,891","394,880","4,275,840","428,560","4,339,992","308,590","4,270,139","645,660","10,900,037","52,100","168,120","780,593","395,820","4,873,681","156,110","9,554,677","719,100","2,298,665","66,210","16,538","12,640","269,962","73,520","498,979","47,390","212,940","267,380","272,336","36,130","79,198","16,980","269,464","725,460","15,293,798","681,840","4,051,576","37,460","49,897","653,590","1,421,294","723,600","5,747,553","576,140","3,779,095","582,050","2,973,794","2,245,420","107,511,688","2,228,300","19,570,588","42,290","196,981","957,120","1,168,606","124,320","108,151","115,950","58,123","189,930","206,526","178,900","29,313","513,950","659,008","87,700","31,054","321,580","853,434","2,885,430","24,693,900","575,650","1,334,191","508,880","1,189,510","409,760","567,438","185,530","167,498","1,999,300","18,427,290","2,154,000","19,584,357","32,730","57,547","39,770","128,751","438,950","2,089,465","2,447,330","6,671,150"
IN,1 ,"33,980","20,900","10,900","1,360","22,240","50,810","8,430","-2,045,658","26,180","-2,016,289","8,560","212,067","10,860","46,277","7,870","41,835","7,200","27,424",950,"3,882","11,100","-123,360","10,900","116,392","2,760","28,215","4,970","43,587","2,880",460,"2,434",50,353,"5,880","-478,853","7,410","29,369",130,29,40,349,"1,930","10,969",190,988,"1,280","1,411","1,450","5,122",130,"2,332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,"6,507",70,"6,227",50,119,**,**,**,**,10,11,10,7,20,33,**,**,"3,780","7,562","15,290","69,790","3,290","3,164","2,260","2,205","1,200","1,871","2,510","2,308",70,"6,388","4,580","15,099",120,165,10,27,"2,550","4,455","13,250","50,815"
IN,2 ,"539,930","435,920","46,110","52,270","235,710","527,680","126,720","2,760,744","539,930","2,829,674","403,330","2,040,528","84,340","39,608","47,920","49,616","43,000","29,568","3,670","1,446","54,780","205,066","38,830","3,062","30,340","101,381","80,650","377,868","3,000","14,750","47,401",940,"4,070","5,270","-11,304","64,000","68,930",710,149,80,275,"4,430","14,625",810,"2,443","9,190","7,913","7,060","20,268",260,213,"15,260","231,144","6,640","8,740","6,710","3,733","10,250","18,028","14,690","33,810","7,150","38,739","8,840","12,216","53,170","92,064","48,760","9,129",20,161,"2,640",196,"** 1,710",** 48,** [19],** 1,490,127,40,2,30,7,** 10,** 1,"46,070","35,834","454,200","424,678","158,790","198,106","146,790","176,844","57,140","36,550","23,030","19,561","48,110","8,934","99,520","46,499",20,22,10,11,"28,580","12,052","436,210","389,357"
IN,3 ,"693,020","397,230","121,520","161,520","343,250","1,215,120","433,400","11,789,916","693,020","11,950,266","557,240","8,829,777","113,740","86,882","62,760","109,953","56,400","67,388","14,760","5,355","83,930","682,082","47,450","48,675","57,070","357,220","136,680","1,420,513","6,200","48,480","229,906","57,500","96,467","10,630","20,611","120,310","160,350","3,560",772,250,"1,079","8,280","31,116","3,900","11,749","36,650","32,425","4,730","11,387",550,"1,139","43,050","652,547","29,960","37,507","11,300","8,932","31,650","48,519","42,520","107,046","23,150","118,721","28,920","70,674","442,500","2,791,845","435,190","292,782",90,117,"134,430","43,481","5,700",184,"8,300","2,684","36,160","18,912","50,330","7,416","39,300","13,239","4,200",786,"71,140","113,073","656,540","1,992,263","249,800","815,063","225,270","739,860","192,970","267,355","41,080","34,697","355,200","249,303","420,030","369,290",40,207,**,**,"48,570","44,573","621,100","1,666,419"
IN,4 ,"728,600","340,470","228,610","139,930","376,310","1,494,660","539,540","26,313,213","728,600","26,605,522","642,570","21,324,487","153,510","119,194","88,020","185,954","80,350","121,143","63,010","22,400","75,040","596,658","68,300","125,258","67,300","620,835","147,450","2,268,084","10,700","47,090","227,537","129,350","845,846","20,080","115,587","158,180","292,309","12,230","2,835",650,"4,199","12,380","57,992","11,700","40,855","77,230","79,316","4,410","9,110","1,430","3,683","120,460","1,684,855","110,130","210,888","9,120","11,045","99,490","139,755","120,080","389,304","87,430","443,835","82,060","226,420","699,640","13,576,961","695,760","1,655,394",90,218,"303,160","249,597","17,760",977,"27,060","13,956","48,370","46,483","102,830","17,903","175,750","162,907","19,870","5,051","56,450","120,133","716,750","3,166,283","162,330","317,624","133,490","270,430","136,330","228,483","35,160","29,939","570,770","1,405,818","598,050","1,546,230",80,77,** 10,** 30,"82,230","115,823","636,390","1,719,983"
IN,5 ,"417,720","121,980","248,610","39,410","233,590","990,150","323,980","25,734,275","417,720","26,007,973","373,460","20,347,831","137,830","119,064","81,960","221,318","75,550","151,446","85,790","36,284","58,150","506,035","64,890","187,147","52,930","685,691","106,020","2,058,031","9,530","28,310","136,066","86,850","1,300,800","21,340","190,044","125,470","273,698","14,140","3,449",860,"7,080","9,850","55,918","10,610","44,875","59,450","60,348","4,870","9,115","1,730","4,509","137,610","2,164,715","132,380","385,879","4,600","8,666","123,150","188,500","137,400","614,248","111,370","617,412","103,680","332,928","416,270","16,725,346","415,370","2,308,315",410,599,"195,580","282,333","20,480","1,689","23,450","11,530","36,540","45,043","25,700","3,983","129,530","208,126","21,460","6,538","44,930","105,482","413,360","2,953,534","1,440",234,"1,070",171,"19,930","29,677","26,920","24,625","394,650","2,025,982","400,360","2,154,974",50,67,10,1,"80,700","165,025","329,310","944,859"
IN,6 ,"268,040","39,510","213,610","12,290","151,880","715,910","234,340","23,171,973","268,040","23,409,323","243,660","18,299,332","112,950","99,951","70,320","212,016","65,160","149,481","86,080","44,809","42,290","430,579","56,030","223,552","39,620","696,658","73,780","1,702,626","7,150","16,040","74,706","55,290","1,102,780","19,950","259,659","91,050","237,351","13,430","3,501","1,060","10,589","7,810","50,786","8,280","38,451","41,560","47,857","2,670","4,407","1,880","5,890","125,890","2,252,492","123,060","496,765","2,510","6,209","118,110","209,671","125,800","747,059","108,300","683,799","103,500","381,134","267,670","16,454,246","267,250","2,366,636",740,"1,279","135,550","229,931","18,720","1,945","22,010","11,808","31,690","41,590",0,0,"93,070","163,790","16,940","5,829","33,400","91,224","266,020","2,803,650",0,0,0,0,"1,820","2,856","23,030","22,281","265,150","2,136,714","265,860","2,250,964",60,78,10,13,"58,740","158,882","203,340","690,533"
