STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
MA,8,"178,540","18,920","154,550","3,890","119,290","530,040","197,050",90,50,0,50,"51,150,636","178,540","52,022,332","162,520","37,080,924","142,600","329,804","118,980","1,621,268","115,200","1,244,660","74,230","88,050","44,420","2,413,816","115,900","3,260,838","27,910","1,266,973","35,520","1,562,010",420,"7,310","64,811","26,150","674,286","41,430","2,918,044","62,140","871,696","7,280","1,819","12,910","322,758","16,240","196,506","2,870","25,922",0,0,0,0,"3,370","29,612","174,000","7,092,195","172,130","2,566,048","1,080","3,099","163,510","1,432,923","173,920","4,089,224","137,430","1,753,630","160,090","768,657","178,390","42,331,159","178,350","10,097,258","127,050","610,587",30,33,"84,760","103,006","58,310","59,833","24,130","12,558",0,0,0,0,40,17,"11,090","13,059","43,480","310,900",0,0,0,0,520,"1,008","177,530","10,107,934",0,0,0,0,0,0,0,0,0,0,"178,240","9,994,294","178,440","10,509,235","85,480","65,250","89,900","95,987","94,930","1,166,337","65,110","473,304"
MA,9,"29,300","2,990","25,460",630,"24,150","89,740","35,000",0,0,0,0,"19,743,583","29,300","20,152,160","25,540","11,797,553","27,040","185,612","24,480","921,643","23,930","713,970","10,540","41,809","8,200","930,466","24,940","2,331,265","4,430","261,931","5,210","246,505",100,560,"5,591","4,380","123,154","13,930","2,838,924","13,960","408,577",480,116,"4,310","162,983","5,370","78,430",560,"5,418",0,0,0,0,"1,590","32,458","28,760","2,176,506","28,540","1,067,996",140,552,"27,560","405,626","28,740","1,496,449","21,120","370,017","27,320","380,106","29,280","17,567,589","29,300","5,127,196","13,760","172,610",0,0,"19,410","88,421","16,260","63,233","2,860","1,633",0,0,0,0,0,0,"1,230","3,184","10,200","119,446",0,0,0,0,70,277,"29,160","5,069,444",0,0,0,0,0,0,0,0,0,0,"29,280","5,038,864","29,300","5,353,534","22,600","72,223","25,710","110,825","16,600","675,720","5,780","121,991"
MA,10,"15,160","1,500","13,220",260,"13,780","47,100","18,730",0,0,0,0,"53,622,720","15,160","54,233,214","12,430","15,774,900","14,850","1,102,077","14,080","3,111,883","13,880","2,382,216","8,130","219,575","3,830","858,718","14,320","19,829,106","2,120","168,680","2,850","141,948",80,160,"1,594","2,220","65,697","10,640","11,619,807","8,710","610,494",90,22,"2,740","124,946","3,970","64,670",240,"2,376",0,0,0,0,"2,070","215,084","14,850","5,841,059","14,760","3,025,103",50,420,"14,410","405,696","14,840","3,453,925","9,310","190,188","14,420","2,702,273","15,150","47,787,117","15,160","14,520,806","3,160","250,360",0,0,"12,130","408,703","11,130","340,029",910,546,0,0,0,0,0,0,490,"3,522","6,180","177,740",0,0,0,0,40,200,"15,120","16,338,973",0,0,0,0,0,0,0,0,0,0,"15,140","14,603,974","15,160","15,223,489","11,460","139,857","14,160","765,084","6,460","1,119,387","3,270","1,485,198"
MI,0,"4,685,320","2,266,520","1,763,530","583,580","2,608,120","8,861,300","2,761,780","106,260","54,900","1,110","50,240","266,767,393","4,665,900","270,558,711","3,724,980","185,493,492","1,412,780","2,092,926","891,260","6,021,025","829,500","4,510,371","691,590","560,892","689,500","7,934,686","775,190","11,391,636","527,730","8,544,323","1,095,750","23,334,871","40,960","292,910","988,640","715,230","9,602,237","238,670","15,241,815","1,129,300","3,791,318","97,840","24,764","22,170","464,806","106,710","654,373","79,610","375,193","395,580","430,745","57,870","145,978","19,990","450,791","1,242,430","27,266,571","1,087,680","6,426,529","132,330","138,698","1,136,440","4,411,648","1,239,750","11,402,839","958,560","6,401,842","1,049,850","5,037,764","3,446,430","188,014,231","3,424,090","35,924,424","87,530","412,686","64,060","52,307","1,404,610","1,959,695","251,200","460,203","157,200","77,746","332,130","374,352","249,720","44,028","646,510","831,920","126,530","42,798","544,080","1,390,007","110,620","359,967","121,380","399,663","209,320","39,243","4,372,430","43,342,056","844,910","2,031,147","734,310","1,753,710","537,180","709,156","345,930","324,088","46,680","27,066","3,116,650","34,062,533","3,428,200","36,056,215","69,260","129,742","78,260","328,985","808,220","3,476,661","3,561,820","9,658,285"
MI,1,"63,150","40,600","18,110","2,970","39,770","91,900","14,090",890,560,10,330,"-4,100,321","43,740","-4,040,112","13,690","361,721","18,440","93,104","12,830","105,969","11,760","76,421","1,790","5,342","17,460","-175,625","20,080","185,682","4,810","61,428","8,430","84,192","3,330",830,"3,123",80,243,"9,240","-609,890","13,140","60,209",210,48,100,"1,291","3,030","14,510",270,"1,261","2,340","2,699","3,050","11,080",420,"8,825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,"2,504",120,"2,295",660,202,160,240,0,0,0,0,50,45,20,13,70,53,0,0,"6,550","13,396","3,590","17,464","3,690","15,999",980,126,"28,190","101,747","5,870","5,848","3,870","4,012","1,970","3,046","6,170","5,790","2,580","2,236",710,"2,263","9,100","18,170",180,346,0,0,"5,180","7,408","24,540","77,222"
MI,2,"838,200","688,580","68,330","73,340","409,280","800,370","170,740","44,900","21,630",150,"23,120","4,119,789","838,190","4,249,033","581,830","3,005,938","153,630","51,720","76,380","80,364","68,970","47,855","7,010","3,391","102,460","423,127","65,810","17,188","42,250","150,474","113,260","531,068","2,900","18,510","46,403","1,690","7,465","8,140","-11,837","116,800","129,244","1,090",222,180,819,"7,540","20,446","1,550","4,509","14,970","13,357","13,870","42,728",380,"1,213","24,860","346,329","7,680","7,611","13,410","6,273","19,050","54,154","24,090","72,519","12,700","64,837","15,050","18,034","85,610","150,772","81,420","15,982",20,91,"3,650","1,290","4,920",442,"2,950",83,0,0,990,235,160,28,170,57,110,39,"88,110","70,712","15,350","58,957","15,540","56,803","6,000",602,"664,810","630,849","237,720","292,175","211,610","247,762","76,300","52,227","48,940","43,499","9,490","4,713","79,940","15,541","177,500","89,455",10,32,0,0,"52,010","22,439","629,730","561,774"
MI,3,"1,068,080","646,710","175,620","230,530","563,060","1,787,350","608,180","34,030","19,250",290,"14,490","18,010,849","1,068,080","18,291,431","810,320","12,731,583","186,410","118,578","105,180","195,068","95,740","118,504","23,150","9,550","167,530","1,351,122","85,410","107,741","88,050","577,853","225,930","2,606,675","5,680","75,490","261,623","105,270","180,364","17,850","48,662","214,370","280,582","5,000","1,093",510,"2,597","14,500","44,289","7,310","22,176","56,120","50,921","7,710","20,171",810,"2,107","72,930","1,051,597","36,410","36,953","31,320","18,578","57,370","154,368","72,090","225,585","39,490","197,196","52,630","117,096","682,920","4,330,942","673,800","457,994",160,227,"21,740","7,764","205,960","73,404","11,180",453,"8,830","2,885","74,940","41,709","69,920","11,220","47,270","15,630","6,370","1,206","142,710","227,039","49,140","147,854","49,240","148,811","98,860","9,789","999,870","3,010,943","387,380","1,299,336","344,310","1,141,247","274,840","376,542","92,820","82,807","22,290","10,743","549,240","384,593","691,960","630,877",40,24,0,0,"90,080","83,383","935,100","2,456,803"
MI,4,"1,024,430","521,540","306,830","171,070","562,800","1,921,510","594,340","19,480","11,380",220,"7,890","37,082,599","1,024,430","37,546,472","855,990","28,032,432","246,290","178,974","142,950","341,589","131,690","217,848","88,790","33,927","122,100","948,777","117,360","272,158","109,030","1,059,193","246,990","4,537,227","8,450","86,500","302,531","215,070","1,467,933","30,250","194,655","230,500","463,873","15,610","3,663","1,380","9,911","19,560","78,897","19,420","72,255","112,980","125,890","6,340","15,003","1,840","6,244","188,830","2,694,655","148,400","251,290","35,820","31,243","158,350","410,324","188,320","737,811","129,460","641,150","142,130","376,142","989,560","19,558,409","982,720","2,394,608",140,367,"25,920","18,567","400,020","329,541","33,390","2,309","32,240","17,079","89,430","93,859","135,970","25,425","196,500","182,129","27,040","6,690","87,610","196,181","34,750","110,290","38,480","126,797","75,400","14,087","1,002,030","4,233,512","211,430","433,158","172,630","360,233","156,190","237,680","64,700","58,191","10,510","7,756","831,660","2,065,069","884,050","2,300,578",80,124,0,0,"151,510","212,279","856,740","2,119,682"
MI,5,"618,550","218,430","324,110","63,380","365,720","1,344,530","402,040","4,570","1,550",170,"2,850","38,147,324","618,550","38,588,653","522,070","28,056,119","220,320","181,542","134,810","427,974","124,920","283,132","124,850","52,063","88,230","791,923","112,410","397,116","91,150","1,246,253","180,210","4,341,028","6,830","50,660","175,666","151,290","2,370,478","29,930","286,088","180,350","441,329","20,230","4,958","1,740","16,530","14,040","70,830","17,010","76,474","85,120","97,336","7,780","16,619","1,980","8,035","223,930","3,563,253","197,340","515,759","23,310","27,496","201,400","563,510","223,650","1,167,119","172,970","945,511","180,410","540,527","616,430","25,120,873","614,770","3,505,959",560,950,"8,100","13,151","266,320","365,387","39,090","4,354","28,320","13,706","56,300","75,072","43,650","7,342","160,170","252,100","29,250","8,401","63,680","158,986","6,750","22,768","10,080","36,525","18,430","6,566","611,270","4,327,466","2,520",630,"1,890",456,"24,590","34,177","41,470","40,069","1,630","1,437","588,840","3,140,579","597,520","3,336,608",60,111,20,2,"144,950","290,931","460,580","1,249,004"
MI,6,"407,980","81,260","298,210","23,550","245,070","1,021,480","315,350","1,400",280,130,990,"35,331,884","407,980","35,693,145","351,070","25,926,382","181,690","170,765","116,550","446,133","108,660","303,957","125,880","63,311","64,340","697,331","98,870","488,719","71,400","1,329,585","128,530","3,724,626","5,100","31,240","101,792","102,630","2,142,654","27,670","356,611","125,770","361,261","17,560","4,509","2,010","21,592","10,090","61,123","12,590","63,508","55,810","65,754","2,670","5,498","2,010","7,657","203,260","3,711,919","187,220","668,413","13,910","21,222","191,230","608,962","203,150","1,363,509","167,970","1,050,633","174,160","589,355","407,420","25,172,492","406,620","3,671,378","1,270","2,315","2,450","6,092","194,680","312,284","37,060","6,526","27,920","14,102","46,910","65,717",0,0,"122,500","212,572","23,310","7,417","47,520","135,000",940,"2,398","2,730","9,024","5,440","3,019","404,910","4,225,002",0,0,0,0,"2,700","4,439","33,690","33,516",170,161,"403,400","3,359,095","404,580","3,527,387",80,106,0,0,"106,010","269,193","291,160","929,963"
